channel_id,entity_id,channel_name,youtube_url,verification_status,verification_source,priority,enabled,notes
YT001,catherine_austin_fitts,"The Solari Report | Catherine Austin Fitts",https://www.youtube.com/@thesolarireport,verified,web-research,CORE,true,"Solari public YouTube channel; handle should be resolved to channel ID at harvest time"
YT002,martin_armstrong,"Martin Armstrong / Armstrong Economics",https://www.youtube.com/@martinarmstrongae,verified,https://www.armstrongeconomics.com/products_services/products/social-media-platforms/,CORE,true,"Armstrong Economics lists this as official YouTube"
YT003,greg_hunter_usawatchdog,"Greg Hunter's USAWatchdog",https://www.youtube.com/user/usawatchdog,verified,https://usawatchdog.com/,CORE,true,"Long-running USAWatchdog channel"
YT004,sarah_westall,"Sarah Westall",https://www.youtube.com/c/SarahWestall,verified,https://sarahwestall.com/,HIGH,true,"Business Game Changers"
YT005,del_bigtree_highwire,"The HighWire with Del Bigtree",https://www.youtube.com/@TheHighWirewithDelBigtree,verified,web-research,HIGH,true,"Current discovered HighWire handle"
YT006,childrens_health_defense,"Children's Health Defense",https://www.youtube.com/channel/UCZcW0uVZDTaEXfBS-JV-zUg,verified,https://childrenshealthdefense.org/,HIGH,true,"Channel ID preserved because handles can change"
YT007,peak_prosperity,"Peak Prosperity",https://www.youtube.com/@peakprosperity,verified,web-research,HIGH,true,"Chris Martenson / Peak Prosperity"
YT008,uk_column,"UK Column News",https://www.youtube.com/@ukcolumnofficial,verified,web-research,HIGH,true,"UK Column"
YT009,canadian_prepper,"Canadian Prepper",https://www.youtube.com/@canadianprepper,verified,web-research,HIGH,true,"Preparedness/commercial amplification node"
YT010,commodity_culture,"Commodity Culture",https://www.youtube.com/@CommodityCulture,verified,web-research,HIGH,true,"Jesse Day; commodities interviews"
YT011,coffee_and_a_mike,"Coffee and a Mike",https://www.youtube.com/@Coffeeandamike,verified,https://coffeeandamike.libsyn.com/,MEDIUM,true,"Michael Farris"
YT012,palisades_gold_radio,"Palisades Gold Radio",https://www.youtube.com/@PalisadesGoldRadio,candidate,web-lead,MEDIUM,false,"Needs channel-ID confirmation before automatic harvest"
YT013,financial_survival_network,"Financial Survival Network",https://www.youtube.com/@FinancialSurvivalNetwork,candidate,web-lead,MEDIUM,false,"Needs confirmation"
YT014,moneytalks_mike_campbell,"MoneyTalks with Michael Campbell",https://www.youtube.com/@MoneyTalks, candidate,web-lead,MEDIUM,false,"Needs confirmation due ambiguous handle"
